filename,score,bbox_fill,aspect_ratio,transparency,vertical_center,reasons
The yellow pansy has five rounded petals_ arranged in a distinctive face-like pattern.webp,4.00,0.77,0.97,0.34,0.47,Very dense bloom (77% bbox fill); Square shape (aspect 0.97); Medium transparency (34%)
White camellia bloom with blush pink accents and densely petaled rosette shape.webp,4.00,0.68,0.93,0.42,0.50,Very dense bloom (68% bbox fill); Square shape (aspect 0.93); Medium transparency (42%)
White_ single rose with tightly swirled petals fading to pale pink towards the center.webp,4.00,0.70,1.00,0.42,0.49,Very dense bloom (70% bbox fill); Square shape (aspect 1.00); Medium transparency (42%)
White peony_ single bloom_ with dense_ ruffled petals and yellow center.webp,4.00,0.73,1.04,0.37,0.50,Very dense bloom (73% bbox fill); Square shape (aspect 1.04); Medium transparency (37%)
This is a single dahlia bloom_ in hues of purple_ pink_ and white_ with layered petals.webp,4.00,0.70,0.99,0.31,0.49,Very dense bloom (70% bbox fill); Square shape (aspect 0.99); Medium transparency (31%)
This purple-blue hydrangea has many blooms with rounded petals in a clustered arrangement.webp,4.00,0.71,0.98,0.43,0.48,Very dense bloom (71% bbox fill); Square shape (aspect 0.98); Medium transparency (43%)
There is a single_ large peony bloom with ruffled white and light peach petals.webp,4.00,0.69,1.03,0.40,0.47,Very dense bloom (69% bbox fill); Square shape (aspect 1.03); Medium transparency (40%)
The round hydrangea has many bluish-purple blooms with broad_ subtly veined petals.webp,4.00,0.75,0.89,0.40,0.50,Very dense bloom (75% bbox fill); Square shape (aspect 0.89); Medium transparency (40%)
This dahlia has one bloom in shades of purple and pink_ petals are layered.webp,4.00,0.68,1.01,0.37,0.50,Very dense bloom (68% bbox fill); Square shape (aspect 1.01); Medium transparency (37%)
This flower is a light blue trumpet shape with veined petals_ and one bloom.webp,4.00,0.72,0.97,0.45,0.51,Very dense bloom (72% bbox fill); Square shape (aspect 0.97); Medium transparency (45%)
Violet chrysanthemum with numerous rounded petals arranged tightly in a full bloom.webp,4.00,0.71,1.08,0.41,0.51,Very dense bloom (71% bbox fill); Square shape (aspect 1.08); Medium transparency (41%)
Single_ purple pansy bloom with five rounded petals and prominent veining.webp,4.00,0.75,0.94,0.38,0.47,Very dense bloom (75% bbox fill); Square shape (aspect 0.94); Medium transparency (38%)
This iris flower has multiple blooms in shades of purple-blue_ with delicately ruffled petals.webp,4.00,0.66,0.97,0.44,0.47,Very dense bloom (66% bbox fill); Square shape (aspect 0.97); Medium transparency (44%)
This single_ purple bloom shows distinct veining on its soft_ rounded petals.webp,4.00,0.73,0.92,0.44,0.49,Very dense bloom (73% bbox fill); Square shape (aspect 0.92); Medium transparency (44%)
Violet chrysanthemum with dense_ layered_ spoon shaped petals_ single bloom.webp,4.00,0.71,1.00,0.36,0.49,Very dense bloom (71% bbox fill); Square shape (aspect 1.00); Medium transparency (36%)
The single blue bloom_ likely a morning glory_ showcases delicate_ paper-thin_ funnel-shaped petals.webp,4.00,0.69,0.97,0.43,0.51,Very dense bloom (69% bbox fill); Square shape (aspect 0.97); Medium transparency (43%)
There is one large_ purple petunia-like bloom with slightly ruffled edges visible.webp,4.00,0.73,0.99,0.43,0.51,Very dense bloom (73% bbox fill); Square shape (aspect 0.99); Medium transparency (43%)
Violet chrysanthemums bloom with many rounded petals arranged tightly and radiating from a dense center.webp,4.00,0.69,1.06,0.39,0.51,Very dense bloom (69% bbox fill); Square shape (aspect 1.06); Medium transparency (39%)
This camellia has one bloom in shades of pink_ with layered_ ruffled petals.webp,4.00,0.69,1.00,0.38,0.50,Very dense bloom (69% bbox fill); Square shape (aspect 1.00); Medium transparency (38%)
This camellia features multiple blooms of pink petals with intricate veins and golden stamens.webp,4.00,0.75,0.94,0.38,0.50,Very dense bloom (75% bbox fill); Square shape (aspect 0.94); Medium transparency (38%)
This dahlia has one large bloom in shades of pink_ coral_ and purple. Many layers of pointed petals.webp,4.00,0.67,0.97,0.40,0.49,Very dense bloom (67% bbox fill); Square shape (aspect 0.97); Medium transparency (40%)
This Dahlia has one full bloom_ salmon colored with layered pointed petals_ a green center.webp,4.00,0.67,1.01,0.38,0.50,Very dense bloom (67% bbox fill); Square shape (aspect 1.01); Medium transparency (38%)
The rose's petals blend creamy white to soft pink_ layered densely to form a bloom.webp,4.00,0.69,0.95,0.41,0.49,Very dense bloom (69% bbox fill); Square shape (aspect 0.95); Medium transparency (41%)
The vibrant red dahlia has multiple layers of densely packed_ pointed petals.webp,4.00,0.69,1.01,0.41,0.50,Very dense bloom (69% bbox fill); Square shape (aspect 1.01); Medium transparency (41%)
This hibiscus has large_ rounded petals in gradient hues of orange_ pinks_ purple and blue. One bloom.webp,4.00,0.71,1.01,0.34,0.48,Very dense bloom (71% bbox fill); Square shape (aspect 1.01); Medium transparency (34%)
A single_ pink peony bloom with many layered_ ruffled petals forming a dense head.webp,4.00,0.76,1.03,0.35,0.50,Very dense bloom (76% bbox fill); Square shape (aspect 1.03); Medium transparency (35%)
A single_ pink peony bloom is featured_ with layers of rounded_ overlapping petals.webp,4.00,0.72,1.07,0.41,0.48,Very dense bloom (72% bbox fill); Square shape (aspect 1.07); Medium transparency (41%)
This is a single_ large red rose with tightly swirled petals and a textured appearance.webp,4.00,0.71,1.00,0.44,0.50,Very dense bloom (71% bbox fill); Square shape (aspect 1.00); Medium transparency (44%)
Gerbera daisy exhibits many salmon-colored petals radiating from a yellow-ish center in a single bloom.webp,4.00,0.69,0.96,0.38,0.49,Very dense bloom (69% bbox fill); Square shape (aspect 0.96); Medium transparency (38%)
A single pink poppy-like flower with flowing_ translucent petals arranged in layers and feathery stamens.webp,4.00,0.66,0.95,0.42,0.47,Very dense bloom (66% bbox fill); Square shape (aspect 0.95); Medium transparency (42%)
This is a single_ pink peony bloom with many layered_ ruffled petals.webp,4.00,0.74,1.03,0.37,0.49,Very dense bloom (74% bbox fill); Square shape (aspect 1.03); Medium transparency (37%)
The single_ large dahlia has numerous layers of peach-pink petals with a pointed shape.webp,4.00,0.73,0.99,0.42,0.49,Very dense bloom (73% bbox fill); Square shape (aspect 0.99); Medium transparency (42%)
This Dahlia has many petals with pointed tips in colors of pinks_ purples_ and whites.webp,4.00,0.68,1.01,0.34,0.49,Very dense bloom (68% bbox fill); Square shape (aspect 1.01); Medium transparency (34%)
The single pink peony bloom features layered_ ruffled petals and a golden center.webp,4.00,0.74,1.04,0.33,0.48,Very dense bloom (74% bbox fill); Square shape (aspect 1.04); Medium transparency (33%)
This dahlia has dozens of red overlapping petals arranged in a concentric pattern around a green center.webp,4.00,0.68,0.96,0.41,0.50,Very dense bloom (68% bbox fill); Square shape (aspect 0.96); Medium transparency (41%)
The single flower is a rust-red rose_ full blooms_ with inward-curling petals.webp,4.00,0.72,0.94,0.43,0.49,Very dense bloom (72% bbox fill); Square shape (aspect 0.94); Medium transparency (43%)
This dahlia bloom shows layers of pointed_ peach petals radiating from the center.webp,4.00,0.68,0.99,0.41,0.50,Very dense bloom (68% bbox fill); Square shape (aspect 0.99); Medium transparency (41%)
Single_ large pink peony flower with tightly packed_ ruffled petals.webp,4.00,0.74,1.06,0.37,0.50,Very dense bloom (74% bbox fill); Square shape (aspect 1.06); Medium transparency (37%)
The single rose bloom displays layered_ ruffled petals in shades of orange and pink.webp,4.00,0.72,0.98,0.45,0.48,Very dense bloom (72% bbox fill); Square shape (aspect 0.98); Medium transparency (45%)
The single dahlia displays many peach-orange petals arranged in a dense_ layered_ circular form.webp,4.00,0.72,1.01,0.37,0.50,Very dense bloom (72% bbox fill); Square shape (aspect 1.01); Medium transparency (37%)
The single dahlia bloom is peach colored with pointed petals and purple center.webp,4.00,0.66,1.04,0.42,0.52,Very dense bloom (66% bbox fill); Square shape (aspect 1.04); Medium transparency (42%)
Dahlia with many peach and pink petals arranged in a dense_ spiral pattern.webp,4.00,0.65,0.98,0.45,0.51,Very dense bloom (65% bbox fill); Square shape (aspect 0.98); Medium transparency (45%)
The single pink peony bloom has many layered petals and a golden center.webp,4.00,0.76,1.01,0.33,0.48,Very dense bloom (76% bbox fill); Square shape (aspect 1.01); Medium transparency (33%)
A single pink peony flower with many layers of ruffled petals.webp,4.00,0.71,1.06,0.37,0.49,Very dense bloom (71% bbox fill); Square shape (aspect 1.06); Medium transparency (37%)
This orange-peach gerbera daisy bloom is full_ with many rounded_ layered petals around a dark center.webp,4.00,0.73,1.00,0.37,0.49,Very dense bloom (73% bbox fill); Square shape (aspect 1.00); Medium transparency (37%)
The single hibiscus bloom is red-tinged and has veined petals with a prominent stamen.webp,4.00,0.70,0.99,0.41,0.48,Very dense bloom (70% bbox fill); Square shape (aspect 0.99); Medium transparency (41%)
The single camellia-like bloom features many layered_ pink petals and a textured center.webp,4.00,0.74,0.99,0.39,0.48,Very dense bloom (74% bbox fill); Square shape (aspect 0.99); Medium transparency (39%)
The single pink peony bloom has layered_ ruffled petals and a prominent center.webp,4.00,0.77,1.04,0.31,0.50,Very dense bloom (77% bbox fill); Square shape (aspect 1.04); Medium transparency (31%)
A single_ open-faced petunia flower_ features pink and red veins on slightly ruffled petals.webp,4.00,0.73,0.99,0.38,0.49,Very dense bloom (73% bbox fill); Square shape (aspect 0.99); Medium transparency (38%)
The single cosmos bloom features purple-hued petals with a frilled edge and golden center.webp,3.50,0.70,1.00,0.45,0.51,Very dense bloom (70% bbox fill); Square shape (aspect 1.00)
Violet pansy has five broad_ veined petals arranged in a classic_ overlapping pattern.webp,3.50,0.69,1.02,0.53,0.46,Very dense bloom (69% bbox fill); Square shape (aspect 1.02)
This is a single orange hibiscus flower with five translucent_ textured petals and a prominent stamen.webp,3.50,0.68,0.96,0.46,0.47,Very dense bloom (68% bbox fill); Square shape (aspect 0.96)
This is a single_ yellow dahlia with numerous petals tightly arranged in a spiral.webp,3.50,0.68,0.95,0.45,0.51,Very dense bloom (68% bbox fill); Square shape (aspect 0.95)
This is a single peach-pink_ full rose with layered_ slightly ruffled petals arranged in a swirl.webp,3.50,0.67,1.03,0.47,0.49,Very dense bloom (67% bbox fill); Square shape (aspect 1.03)
The singular rose bloom is peach-colored_ with tightly spiraled petals at the center.webp,3.50,0.65,0.98,0.46,0.49,Very dense bloom (65% bbox fill); Square shape (aspect 0.98)
This orange marigold flower has one bloom with many ruffled_ layered petals.webp,3.50,0.67,1.00,0.46,0.45,Very dense bloom (67% bbox fill); Square shape (aspect 1.00)
The single bloom is a white rose with layered_ ruffled petals.webp,3.50,0.71,1.03,0.50,0.49,Very dense bloom (71% bbox fill); Square shape (aspect 1.03)
The white gardenia has one bloom with layered_ gracefully curved petals and a yellow center.webp,3.50,0.68,0.99,0.46,0.49,Very dense bloom (68% bbox fill); Square shape (aspect 0.99)
White bougainvillea in a realistic_ rendered style with detailed petal veins_ against a black background..webp,3.50,0.65,1.10,0.46,0.47,Very dense bloom (65% bbox fill); Square shape (aspect 1.10)
This single_ purple anemone flower features delicate_ textured petals and a dark_ central disc.webp,3.50,0.67,0.90,0.52,0.45,Very dense bloom (67% bbox fill); Square shape (aspect 0.90)
Single purple pansy with rounded petals and a yellow center.webp,3.50,0.71,0.93,0.48,0.45,Very dense bloom (71% bbox fill); Square shape (aspect 0.93)
This iris bloom displays complex_ ruffled petals_ predominantly purple and white_ with unique striped markings.webp,3.50,0.69,1.01,0.51,0.49,Very dense bloom (69% bbox fill); Square shape (aspect 1.01)
This is a single pansy bloom showcasing lavender_ pink_ and purple hues_ with rounded petals.webp,3.50,0.72,0.94,0.49,0.47,Very dense bloom (72% bbox fill); Square shape (aspect 0.94)
The single_ light pink camellia has many layers of delicately curved petals.webp,3.50,0.71,0.87,0.51,0.49,Very dense bloom (71% bbox fill); Square shape (aspect 0.87)
This single rose bloom features layered petals of red and white_ swirled tightly inward.webp,3.50,0.70,1.02,0.49,0.49,Very dense bloom (70% bbox fill); Square shape (aspect 1.02)
The red dahlia features one layered bloom with spiky petals arranged in a starburst.webp,3.50,0.66,0.91,0.57,0.50,Very dense bloom (66% bbox fill); Square shape (aspect 0.91)
This hibiscus flower has a single bloom with translucent orange petals_ and a prominent stamen.webp,3.50,0.66,1.00,0.45,0.51,Very dense bloom (66% bbox fill); Square shape (aspect 1.00)
The rose has one bloom_ is peach-toned_ and has tightly spiraled petal arrangement.webp,3.50,0.67,0.96,0.53,0.50,Very dense bloom (67% bbox fill); Square shape (aspect 0.96)
This is a single_ deep red rose with many tightly spiraled petals.webp,3.50,0.72,0.92,0.49,0.50,Very dense bloom (72% bbox fill); Square shape (aspect 0.92)
The rose has one bloom_ orange-peach hue_ and softly curved petals tightly arranged.webp,3.50,0.66,0.96,0.46,0.45,Very dense bloom (66% bbox fill); Square shape (aspect 0.96)
Vibrant orange flower_ single bloom with many rounded petals in dense_ layered arrangement.webp,3.50,0.73,0.96,0.50,0.51,Very dense bloom (73% bbox fill); Square shape (aspect 0.96)
The vibrant red geranium has six petal-like lobes featuring vein-like markings.webp,3.50,0.72,0.94,0.49,0.48,Very dense bloom (72% bbox fill); Square shape (aspect 0.94)
This is a pink hydrangea with many clustered blooms and oval-shaped petals.webp,3.00,0.57,0.92,0.56,0.41,Dense bloom (57% bbox fill); Square shape (aspect 0.92); Top-heavy (center at 41%)
Wisteria-like flower blooms in multiple cascading clusters_ colored in purple and lavender hues.webp,3.00,0.50,0.86,0.57,0.41,Dense bloom (50% bbox fill); Square shape (aspect 0.86); Top-heavy (center at 41%)
Single_ vibrant orange nasturtium flower with rounded petals and veined texture_ accompanied by one bud.webp,3.00,0.59,0.86,0.55,0.41,Dense bloom (59% bbox fill); Square shape (aspect 0.86); Top-heavy (center at 41%)
Three large_ open blooms show blue_ yellow_ and purple petals with veined details.webp,3.00,0.61,1.01,0.42,0.48,Dense bloom (61% bbox fill); Square shape (aspect 1.01); Medium transparency (42%)
This single light blue flower has many petals with edges like small wavesteeth.webp,3.00,0.50,0.89,0.60,0.41,Dense bloom (50% bbox fill); Square shape (aspect 0.89); Top-heavy (center at 41%)
This is a single purple iris with ruffled_ textured petals in overlapping_ complex arrangement.webp,3.00,0.62,0.97,0.43,0.49,Dense bloom (62% bbox fill); Square shape (aspect 0.97); Medium transparency (43%)
Two purple sweet pea flowers with delicate_ veined petals and ruffled edges.webp,3.00,0.54,0.84,0.62,0.41,Dense bloom (54% bbox fill); Square shape (aspect 0.84); Top-heavy (center at 41%)
The single cosmos bloom is pink fading to white_ with notched petals and yellow center.webp,3.00,0.52,0.93,0.64,0.41,Dense bloom (52% bbox fill); Square shape (aspect 0.93); Top-heavy (center at 41%)
White carnation with one bloom_ layered petals having a ruffled edge_ and intricate arrangement.webp,3.00,0.53,1.00,0.56,0.40,Dense bloom (53% bbox fill); Square shape (aspect 1.00); Top-heavy (center at 40%)
Two bell-shaped_ lavender-to-purple blooms with slightly ruffled edges grow on a leafy stem.webp,3.00,0.51,0.99,0.61,0.42,Dense bloom (51% bbox fill); Square shape (aspect 0.99); Top-heavy (center at 42%)
One petunia-like bloom_ with orange_ pink and purple hues and prominent veining in the petals.webp,3.00,0.56,0.90,0.53,0.41,Dense bloom (56% bbox fill); Square shape (aspect 0.90); Top-heavy (center at 41%)
Vibrant orange zinnia with many petals arranged concentrically around a textured central disc.webp,3.00,0.52,0.83,0.64,0.41,Dense bloom (52% bbox fill); Square shape (aspect 0.83); Top-heavy (center at 41%)
The single yellow sunflower has a dark center and pointed_ overlapping petals.webp,2.50,0.57,1.00,0.51,0.48,Dense bloom (57% bbox fill); Square shape (aspect 1.00)
Two golden-orange hibiscus-like flowers with rounded petals_ a smaller_ secondary bloom buds nearby.webp,2.50,0.54,0.96,0.59,0.49,Dense bloom (54% bbox fill); Square shape (aspect 0.96)
One yellow sunflower with pointed petals radiates from a brown center disk.webp,2.50,0.56,0.93,0.59,0.48,Dense bloom (56% bbox fill); Square shape (aspect 0.93)
The single bloom is a purple tulip with curved_ textured petals that overlap.webp,2.50,0.54,0.91,0.57,0.46,Dense bloom (54% bbox fill); Square shape (aspect 0.91)
Two yellow_ open-faced_ poppy-like flowers with delicate_ rounded petals and prominent brown stamens.webp,2.50,0.55,0.89,0.61,0.49,Dense bloom (55% bbox fill); Square shape (aspect 0.89)
The single rose bloom is pink_ with delicate_ softly folded petals_ dark stamen details.webp,2.50,0.65,0.92,0.47,0.47,Dense bloom (65% bbox fill); Square shape (aspect 0.92)
The sunflower has one bloom_ featuring yellow petals_ arranged around a circular center.webp,2.50,0.55,0.93,0.53,0.52,Dense bloom (55% bbox fill); Square shape (aspect 0.93)
Two ruffled_ yellow hibiscus blooms face forward_ with a partially formed bud nearby.webp,2.50,0.60,0.91,0.52,0.51,Dense bloom (60% bbox fill); Square shape (aspect 0.91)
Yellow poppy_ one bloom with gently ruffled petals and a prominent_ textured center.webp,2.50,0.52,0.97,0.59,0.44,Dense bloom (52% bbox fill); Square shape (aspect 0.97)
A single yellow sunflower with pointed petals arranged around a brown center.webp,2.50,0.59,0.94,0.57,0.50,Dense bloom (59% bbox fill); Square shape (aspect 0.94)
A single yellow sunflower with pointed petals radiates from a brown center disk.webp,2.50,0.55,0.96,0.62,0.49,Dense bloom (55% bbox fill); Square shape (aspect 0.96)
A single pink camellia flower features many softly layered petals and a golden center.webp,2.50,0.63,0.99,0.47,0.49,Dense bloom (63% bbox fill); Square shape (aspect 0.99)
A single_ bright yellow sunflower with pointed petals and a dark brown center.webp,2.50,0.54,1.05,0.63,0.49,Dense bloom (54% bbox fill); Square shape (aspect 1.05)
Single_ large yellow sunflower with pointed petals arranged around a brown center.webp,2.50,0.54,0.94,0.55,0.50,Dense bloom (54% bbox fill); Square shape (aspect 0.94)
There's one open light orange lily with speckled petals and an unfurled bud.webp,2.50,0.51,1.00,0.62,0.46,Dense bloom (51% bbox fill); Square shape (aspect 1.00)
Three yellow_ bell-shaped flowers bloom_ with ruffled edges and prominent vein-like details.webp,2.50,0.57,0.96,0.54,0.47,Dense bloom (57% bbox fill); Square shape (aspect 0.96)
Two large_ pink petunia blooms with delicate veining_ plus one bud_ on a shared stem.webp,2.50,0.55,0.96,0.57,0.49,Dense bloom (55% bbox fill); Square shape (aspect 0.96)
Violet-hued flower with layered_ rounded petals and organic vein details_ single bloom with simple stem.webp,2.50,0.62,0.97,0.50,0.48,Dense bloom (62% bbox fill); Square shape (aspect 0.97)
Two pansy blooms_ lavender and purple petals with ruffled edges.webp,2.50,0.62,0.94,0.51,0.44,Dense bloom (62% bbox fill); Square shape (aspect 0.94)
The yellow chrysanthemum has one full bloom_ densely packed with soft_ rounded petals.webp,2.50,0.59,0.98,0.47,0.47,Dense bloom (59% bbox fill); Square shape (aspect 0.98)
Bougainvillea with many pink blooms_ each with large_ papery_ pointed petals clustered together.webp,2.50,0.52,0.93,0.55,0.49,Dense bloom (52% bbox fill); Square shape (aspect 0.93)
Yellow poppy flower_ single bloom_ ruffled_ delicate petals surround a dark center.webp,2.50,0.62,0.91,0.56,0.45,Dense bloom (62% bbox fill); Square shape (aspect 0.91)
This bloom is an orange sunflower with a dark center and full petals.webp,2.50,0.58,0.91,0.56,0.47,Dense bloom (58% bbox fill); Square shape (aspect 0.91)
A single yellow sunflower with pointed petals and a textured brown center.webp,2.50,0.51,1.00,0.58,0.47,Dense bloom (51% bbox fill); Square shape (aspect 1.00)
A single orange poppy bloom with delicate_ ruffled petals and a prominent seed pod.webp,2.50,0.54,0.93,0.58,0.46,Dense bloom (54% bbox fill); Square shape (aspect 0.93)
The yellow rose showcases one bloom with tightly clustered_ frilled petals.webp,2.50,0.54,0.90,0.59,0.46,Dense bloom (54% bbox fill); Square shape (aspect 0.90)
Three yellow hibiscus flowers with softly ruffled petals face forward.webp,2.50,0.61,0.96,0.46,0.47,Dense bloom (61% bbox fill); Square shape (aspect 0.96)
This camellia bloom is pink and white with many tightly arranged_ overlapping petals.webp,2.50,0.60,0.96,0.54,0.45,Dense bloom (60% bbox fill); Square shape (aspect 0.96)
The single_ vibrant orange flower has numerous curved petals and a colorful center.webp,2.50,0.61,0.96,0.55,0.46,Dense bloom (61% bbox fill); Square shape (aspect 0.96)
Yellow chrysanthemum with many spoon-shaped petals on one large bloom_one closed bud shown.webp,2.50,0.52,0.85,0.59,0.45,Dense bloom (52% bbox fill); Square shape (aspect 0.85)
The simple_ single bloom is white with purple hues and notched petals.webp,2.50,0.52,1.10,0.61,0.43,Dense bloom (52% bbox fill); Square shape (aspect 1.10)
Two creamy white chrysanthemum blooms feature densely packed_ ruffled petals.webp,2.50,0.51,0.95,0.55,0.48,Dense bloom (51% bbox fill); Square shape (aspect 0.95)
Three rounded_ five-petal flowers_ colored yellow_ white-pink_ and light-pink bloom with subtle color gradients on petals.webp,2.50,0.58,1.01,0.56,0.48,Dense bloom (58% bbox fill); Square shape (aspect 1.01)
This single yellow marigold bloom features ruffled petals arranged densely around a textured center.webp,2.50,0.55,0.94,0.58,0.47,Dense bloom (55% bbox fill); Square shape (aspect 0.94)
Two nasturtium blooms_ orange with a yellow undertone_ rounded petals_ slightly ruffled edges.webp,2.50,0.63,0.93,0.49,0.47,Dense bloom (63% bbox fill); Square shape (aspect 0.93)
This is a single_ bright orange marigold bloom with ruffled petal arrangements.webp,2.50,0.56,0.90,0.60,0.48,Dense bloom (56% bbox fill); Square shape (aspect 0.90)
Two orange Nasturtium blossoms with rounded petals and visible veins are displayed.webp,2.50,0.61,0.83,0.58,0.51,Dense bloom (61% bbox fill); Square shape (aspect 0.83)
This singular orange marigold has densely layered petals and a dark center.webp,2.50,0.59,1.05,0.52,0.47,Dense bloom (59% bbox fill); Square shape (aspect 1.05)
A single_ orange marigold bloom with ruffled petals and a textured center.webp,2.50,0.52,0.89,0.62,0.46,Dense bloom (52% bbox fill); Square shape (aspect 0.89)
The single bloom is a light orange nasturtium with veiny_ round-edged petals.webp,2.50,0.65,0.92,0.52,0.51,Dense bloom (65% bbox fill); Square shape (aspect 0.92)
White waterlily blooms with rounded petals and a bright yellow center_ single bloom.webp,2.50,0.62,1.08,0.53,0.51,Dense bloom (62% bbox fill); Square shape (aspect 1.08)
White hydrangea features many small_ round-petal blooms arranged in a dense_ globe-like shape.webp,2.50,0.54,1.02,0.53,0.46,Dense bloom (54% bbox fill); Square shape (aspect 1.02)
This is a single_ creamy white rose with spiraling petals and a thorny stem.webp,2.50,0.58,0.97,0.57,0.47,Dense bloom (58% bbox fill); Square shape (aspect 0.97)
White hydrangea with many small blooms_ creating a sphere-like shape_ petals softly rounded.webp,2.50,0.56,1.05,0.51,0.46,Dense bloom (56% bbox fill); Square shape (aspect 1.05)
This daffodil has white petals surrounding an orange_ ruffled center_ one bloom on a stem.webp,2.50,0.60,0.91,0.58,0.49,Dense bloom (60% bbox fill); Square shape (aspect 0.91)
White_ single bloom_ large_ rounded petals arranged radially_ with pronounced veins and central yellow stamens.webp,2.50,0.60,1.08,0.52,0.53,Dense bloom (60% bbox fill); Square shape (aspect 1.08)
Watercolor style white bougainvillea with veined petals and subtle pink and blue hues on black..webp,2.50,0.54,1.05,0.58,0.53,Dense bloom (54% bbox fill); Square shape (aspect 1.05)
White_ single bloom_ dogwood-like flower. Petals are heart-shaped with a slightly pointed tip.webp,2.50,0.54,1.00,0.57,0.50,Dense bloom (54% bbox fill); Square shape (aspect 1.00)
White daffodil flower with yellow trumpet_ features six pointed petals_ one bloom.webp,2.50,0.57,0.97,0.51,0.47,Dense bloom (57% bbox fill); Square shape (aspect 0.97)
The single bloom of a daffodil is mostly white with a golden-tan trumpet.webp,2.50,0.52,0.90,0.58,0.46,Dense bloom (52% bbox fill); Square shape (aspect 0.90)
The white to pale yellow chrysanthemum has tightly packed_ curved petals in a spiral arrangement.webp,2.50,0.61,0.92,0.55,0.45,Dense bloom (61% bbox fill); Square shape (aspect 0.92)
The single_ slightly open tulip bloom is purple_ with layered and gracefully curved petals.webp,2.50,0.50,0.99,0.57,0.50,Dense bloom (50% bbox fill); Square shape (aspect 0.99)
The single tulip bloom is purple_ with cupped petals that overlap at the top.webp,2.50,0.51,0.83,0.63,0.48,Dense bloom (51% bbox fill); Square shape (aspect 0.83)
This single bloom is a peony-like flower with layered_ frilled blue and lavender petals.webp,2.50,0.61,0.93,0.46,0.45,Dense bloom (61% bbox fill); Square shape (aspect 0.93)
Several blue and purple Phalaenopsis orchid blooms with rounded petals are arranged on a branch.webp,2.50,0.59,0.91,0.53,0.44,Dense bloom (59% bbox fill); Square shape (aspect 0.91)
This hydrangea bloom features numerous petals in shades of blue_ purple_ and pink.webp,2.50,0.59,0.94,0.49,0.44,Dense bloom (59% bbox fill); Square shape (aspect 0.94)
Towering blue delphinium features large_ overlapping petals and prominent center_ with several blooms on a tall stem.webp,2.50,0.53,0.82,0.61,0.50,Dense bloom (53% bbox fill); Square shape (aspect 0.82)
Three purple bougainvillea blooms with leaf-like bracts show visible veining.webp,2.50,0.55,1.00,0.52,0.50,Dense bloom (55% bbox fill); Square shape (aspect 1.00)
